MMP|65.21|07/20/2023 16:00|7.00|45.70|13.17|32.38|12930
MANH|204.27|07/20/2023 16:00|7.00|49.79|23.24|16.81|12460
LECO|210.04|07/20/2023 16:00|6.00|36.28|16.36|12.56|11500
TTC|102.85|07/20/2023 16:00|8.00|35.00|13.66|9.82|10800
ALLE|124.62|07/20/2023 16:00|7.00|51.43|13.01|14.00|10790
TPL|1445.33|07/20/2023 16:00|7.00|48.49|54.38|66.88|10530
WES|27.69|07/20/2023 16:00|7.00|30.26|10.80|37.43|10520
TFII|123.65|07/20/2023 16:00|7.00|30.00|14.46|9.34|9530.00
MKTX|266.90|07/20/2023 16:00|6.00|28.04|15.95|34.84|9440.00
RHI|81.64|07/20/2023 16:00|6.00|38.99|22.24|9.09|8910.00
SEIC|64.08|07/20/2023 16:00|6.00|27.00|20.07|23.88|8390.00
CHE|550.90|07/20/2023 16:00|8.00|36.53|17.93|11.69|8090.00
WWE|108.23|07/20/2023 16:00|6.00|43.53|15.28|15.14|7950.00
MEDP|246.90|07/20/2023 16:00|7.00|25.43|16.29|16.81|7641.51
DCI|62.49|07/20/2023 16:00|8.00|27.92|13.31|10.06|7500.00
XPO|68.41|07/20/2023 16:00|6.00|27.82|8.89|8.63|7030.00
EXP|192.54|07/20/2023 16:00|8.00|33.00|17.22|21.49|6850.00
CMC|55.61|07/20/2023 16:00|7.00|26.42|22.39|13.66|6590.00
VVV|37.92|07/20/2023 16:00|7.00|606.52|12.84|34.33|6290.00
RLI|138.07|07/20/2023 16:00|7.00|28.95|12.58|34.24|6190.00
ALSN|58.97|07/20/2023 16:00|9.00|57.64|11.64|19.18|5270.00
MLI|91.08|07/20/2023 16:00|7.00|36.74|33.15|16.53|4950.00
FIZZ|51.47|07/20/2023 16:00|7.00|47.60|27.28|12.12|4650.00
AMN|111.69|07/20/2023 16:00|6.00|27.46|14.75|8.47|4310.00
NEU|436.07|07/20/2023 16:00|7.00|33.09|11.26|10.11|4150.00
IBP|145.39|07/20/2023 16:00|8.00|38.51|13.02|8.37|4140.00
CRVL|211.65|07/20/2023 16:00|7.00|28.44|16.40|9.24|3600.00
KLIC|56.53|07/20/2023 16:00|6.00|28.11|27.18|28.83|3330.00
FHI|36.28|07/20/2023 16:00|8.00|25.39|11.86|16.56|3160.00
WDFC|216.69|07/20/2023 16:00|8.00|37.75|15.58|12.98|3050.00
WIRE|167.98|07/20/2023 16:00|7.00|34.87|40.45|23.79|3027.35
MHO|90.75|07/20/2023 16:00|7.00|25.10|14.11|11.88|2560.00
TGLS|47.43|07/20/2023 16:00|7.00|31.61|23.49|21.73|2550.00
NGVT|61.49|07/20/2023 16:00|7.00|26.58|8.13|12.68|2190.00
BKE|35.29|07/20/2023 16:00|6.00|59.61|31.47|18.93|1780.00
WINA|368.18|07/20/2023 16:00|7.00|2162.83|137.48|48.43|1200.00
MBUU|57.19|07/20/2023 16:00|7.00|32.59|19.78|12.98|1150.00
OFLX|91.81|07/20/2023 16:00|6.00|44.29|25.32|18.82|989.45
INVA|12.64|07/20/2023 16:00|6.00|50.64|19.83|64.56|817.49
ULH|31.80|07/20/2023 16:00|8.00|31.29|14.41|8.37|788.11
MPX|17.02|07/20/2023 16:00|7.00|30.65|27.21|10.59|599.56
PTSI|26.14|07/20/2023 16:00|6.00|29.83|13.57|9.58|552.16
HVT|34.28|07/20/2023 16:00|6.00|30.50|13.38|8.53|537.05
VALU|52.50|07/20/2023 16:00|7.00|33.56|19.07|58.78|427.20
GNE|13.74|07/20/2023 16:00|6.00|32.20|34.63|27.83|347.53
SJT|6.94|07/20/2023 16:00|6.00|1095.56|843.97|98.22|335.58
ELA|7.41|07/20/2023 16:00|7.00|44.36|24.04|8.59|201.93
SMLR|25.86|07/20/2023 16:00|6.00|46.46|25.27|25.27|171.36
NRT|15.87|07/20/2023 16:00|6.00|3036.01|398.23|96.00|141.35
