0001.HK|47.55|07/21/2023 16:08|0.67|0.669|2.88|1.27|6.00|-2.57|267.57|28.20|69.08|3.09|3.14|2.96|7.00|7.28|5.80|4.86|3.94
0003.HK|6.42|07/21/2023 16:08|1.73|0.95|4.57|0.66|6.00|-2.49|-34.78||-35.09|16.07|3.21|4.59|8.06|10.09|4.68|2.94|11.62
0012.HK|23.20|07/21/2023 16:08|0.64|0.269|6.11|2.06|5.00|-2.52|173.63||130.47|5.53|1.71|3.53|2.79|5.11|6.70|5.32|2.01
0016.HK|97.75|07/21/2023 16:08|1.36|0.223|10.89|3.89|4.00|-1.92|||76.74|7.19|2.33|4.63|3.13|6.14|5.34|4.34|2.97
0027.HK|53.75|07/21/2023 16:08|8.01|0.126||1.17|2.00|-2.84|-66.37|||33.80|-4.13|4.63|-5.21|6.65|0|0|6.34
0066.HK|35.70|07/21/2023 16:08|1.56|0.268|1.52|0.53|4.00|-2.47|-24.45||-19.36|17.49|3.23|2.99|5.50|4.78|3.50|2.92|2.14
0101.HK|11.54|07/21/2023 16:08|0.65|0.344|15.07|1.38|4.00|-2.50|93.72||104.91|8.12|1.76|1.97|2.80|2.81|5.13|4.61|4.45
0168.HK|69.60|07/21/2023 16:08|4.96|0.014|280.38|1.77|8.00|-3.20|-61.57|-41.46|-46.01|62.04|8.13|5.95|15.79|11.71|1.64|1.25|2.46
0175.HK|9.56|07/21/2023 16:08|1.73|0.175|2.22|1.15|5.00|-2.63|26.69||-13.50|12.38|3.54|6.95|7.12|14.29|1.85|1.63|30.15
0241.HK|5.05|07/21/2023 16:08|7.87|0.005||2.74|6.00|-2.28|-72.06||-79.19||2.59|0.407|3.53|0.423|0|0|30.64
0267.HK|8.66|07/21/2023 16:08||2.91|12.60|0.27|||293.52||334.95|4.43|0.69|0.6532|10.29|9.18|8.07|5.92|8.56
0268.HK|10.94|07/21/2023 16:08|5.01|0.073||1.06|2.00|-2.83|-77.17|||269.81|-3.46|0.1104|-5.28|0.2016|0|0.084|9.60
0288.HK|4.02|07/21/2023 16:08|2.98|0.406|13.62|1.61|7.00|-2.59|181.36|102.18|98.55|7.78|6.98|6.47|15.05|13.08|4.18|3.91|15.32
0291.HK|49.25|07/21/2023 16:08|3.76|0.045|119.98|0.88|5.00|-2.96|-55.86|-40.95|-70.69|114.71|7.87|5.63|16.47|11.79|1.12|0.642|6.57
0338.HK|1.13|07/21/2023 16:08|2.60|0.086||1.13|1.00|-0.87|27.43|||11.58|-6.28|3.46|-9.59|4.98|8.71|9.25|9.45
0386.HK|4.60|07/21/2023 16:08|2.16|0.556|5.41|0.87|4.00|-2.57|129.48||122.05|7.92|3.11|3.30|7.93|7.71|14.42|10.28|62.33
0388.HK|297.00|07/21/2023 16:08|1.02|0.036|3.81|1.09|4.00|-2.86|||-77.76|40.10|2.32|3.16|22.38|23.29|2.24|2.27|3.56
0669.HK|86.15|07/21/2023 16:08|3.42|0.741|17.21|1.37|6.00|-2.60|-72.45|3.90|-54.77|32.51|8.12|9.07|21.60|21.44|2.23|1.53|4.07
0670.HK|2.90|07/21/2023 16:08|0.10|6.25||0.37|5.00|-2.58|-118.15|||50.34|-8.72|-0.667|-54.82|-4.02|0|0.616|5.75
0688.HK|16.46|07/21/2023 16:08|1.45|0.766|30.40|2.36|3.00|-2.44|112.26||169.57|4.14|2.57|5.10|6.56|13.10|5.76|4.90|14.92
0700.HK|333.00|07/21/2023 16:08|4.23|0.465|11.42|1.53|5.00|-2.66|-2.91|44.84|-46.66|29.21|12.34|12.84|24.61|26.72|0.48|0.318|17.33
0788.HK|0.86|07/21/2023 16:08|1.14|0.409|5.22|0.76|7.00|-3.40|126.44|-42.53|43.68||2.73|1.86|4.50|3.30|3.73|1.68|91.39
0836.HK|17.00|07/21/2023 16:08|0.89|1.50|3.11|0.61|8.00|-2.84|-59.86||37.46|11.36|2.62|2.36|7.72|6.72|1.63|4.10|8.52
0857.HK|5.85|07/21/2023 16:08|2.65|0.32|12.59|1.00|9.00|-3.11|139.76|43.86|129.35|19.94|5.60|2.78|11.24|5.60|9.73|5.88|81.64
0868.HK|11.78|07/21/2023 16:08|3.11|0.423|12.98|1.09|5.00|-2.58|31.31|42.03|21.59|9.91|9.18|14.89|15.48|24.89|8.11|5.59|5.27
0881.HK|27.45|07/21/2023 16:08|3.36|0.699|4.88|1.62|5.00|-2.42|51.74|61.43|-4.54|14.62|7.40|8.21|15.60|21.45|2.10|1.47|3.11
0914.HK|20.05|07/21/2023 16:08|3.72|0.12|23.29|3.24|2.00|-1.93|214.24||132.42|5.56|5.56|16.55|7.15|21.48|10.10|5.68|4.10
0916.HK|7.68|07/21/2023 16:08|1.09|1.60|3.98|0.81|5.00|-3.03|-46.99||41.33|40.36|2.37|3.03|7.44|9.11|1.80|1.69|12.53
0939.HK|4.34|07/21/2023 16:08||0.72|||4.00|-2.54|551.25|140.55|371.53|4.88|0.93|1.05|11.45|12.37|8.73|6.48|357.08
0960.HK|16.16|07/21/2023 16:08|0.95|1.57|39.01|1.61|4.00|-2.25|271.48|197.86|205.94|5.13|2.77|3.09|18.14|20.03|7.61|4.48|13.01
0968.HK|8.04|07/21/2023 16:08|4.54|0.30|26.84|1.80|5.00|-2.37|-90.90|-24.15|-33.72|26.44|7.69|9.65|12.71|18.05|2.30|2.58|15.56
0992.HK|8.64|07/21/2023 16:08|2.00|0.78|11.16|0.88|7.00|-2.81||278.97||15.90|4.92|3.36|40.20|28.12|4.47|4.25|35.72
1024.HK|59.75|07/21/2023 16:08|-0.60|0.293||1.15|6.00|-3.14|||||-9.68||-20.40||0||15.80
1038.HK|40.70|07/21/2023 16:08|2.84|0.218|4.94|1.59|5.00|-2.17|23.87||48.62|7.80|4.71|5.35|6.07|7.00|6.17|5.10|1.08
1044.HK|30.65|07/21/2023 16:08|2.48|0.874|7.38|1.38|6.00|-2.73|48.61||-12.46|8.45|4.32|8.07|9.78|19.45|4.11|4.99|1.63
1055.HK|4.62|07/21/2023 16:08|-0.24|4.18||0.23|||-126.64|||162.73|-9.57|-2.99|-63.51|-16.44|0|0.722|5.83
1061.HK|3.29|07/21/2023 16:08|2.29|0.283|24.53|2.16|6.00|-3.00|17.92|-27.75|-7.51|10.20|8.08|13.15|12.98|21.55|2.39|1.55|0.0378
1066.HK|10.56|07/21/2023 16:08|3.72|0.207|16.55|3.05|3.00|-2.30|-18.62|1.15|-24.66|23.76|8.30|7.67|12.99|11.98|1.34|1.40|5.20
1088.HK|23.20|07/21/2023 16:08|3.99|0.133|30.22|2.43|7.00|-2.80|105.57|-30.48|87.48|12.35|10.77|8.34|17.39|13.73|13.89|9.60|12.24
1093.HK|6.33|07/21/2023 16:08|6.74|0.019|273.71|2.67|4.00|-2.60|-1.72|77.03|-8.13|19.84|15.52|16.24|21.24|22.80|2.37|1.74|31.53
1099.HK|24.00|07/21/2023 16:08|2.15|1.02|6.57|1.36|5.00|-2.76|181.54|39.10|59.87|10.04|2.33|2.49|12.91|13.59|4.36|3.44|5.02
1109.HK|32.10|07/21/2023 16:08|0.95|0.919|27.79|1.35|4.00|-2.18|102.48|-22.23|91.87|8.02|2.70|3.65|11.73|15.62|4.92|3.97|8.64
1113.HK|43.75|07/21/2023 16:08|1.96|0.14|14.69|3.82|5.00|-2.40|238.92||156.48|6.79|4.20|5.23|5.73|7.51|4.63|3.95|3.49
1171.HK|11.78|07/21/2023 16:08|2.22|0.762|10.59|1.14|8.00|-3.35|113.39|350.83|218.02|17.48|10.08|5.67|33.74|21.21|7.96|11.38|16.27
1177.HK|3.47|07/21/2023 16:08|2.67|0.47|13.85|1.29|5.00|-2.76|23.30|-68.18|-34.94|13.38|3.99|16.38|8.36|37.69|2.17|1.23|45.82
1288.HK|2.67|07/21/2023 16:08||0.827|||4.00|-2.67|698.11|184.15|362.64|4.70|0.76|0.8616|9.80|11.10|9.06|7.33|150.52
1299.HK|78.60|07/21/2023 16:08||0.294|2.23|2.62|4.00|-1.96|-49.05||-87.61|26.59|0.09|1.59|0.59|8.58|1.74|1.57|17.98
1336.HK|19.20|07/21/2023 16:08||0.092|1.41|5.87|7.00|-2.86|453.27||244.34|10.34|1.10|1.33|12.52|14.07|9.16|5.39|2.98
1347.HK|25.30|07/21/2023 16:08|1.75|0.636|14.72|2.22|9.00|-2.40|-144.37|102.56|27.64|21.08|6.92|5.20|15.36|9.20|0|0.778|6.26
1368.HK|7.69|07/21/2023 16:08|3.23|0.42|10.94|1.86|3.00|-2.43|-45.24|-56.80|-33.42|22.65|5.81|6.10|11.13|10.91|3.11|3.40|6.40
1378.HK|6.64|07/21/2023 16:08|1.44|0.707|4.94|1.23|4.00|-2.19|189.27||124.92|5.59|4.58|5.16|10.34|13.36|13.67|8.34|13.05
1385.HK|20.55|07/21/2023 16:08|22.05|0.023|328.19|4.79|6.00|-1.57|-86.68|73.36|-30.71|38.08|10.09|7.75|13.59|10.45|0.26|0.052|3.34
1398.HK|3.66|07/21/2023 16:08||0.46|||4.00|-2.63|892.05|147.40|352.60|4.62|0.90|1.03|10.34|11.77|8.56|6.31|249.29
1658.HK|4.50|07/21/2023 16:08||0.136|||4.00|-2.63|445.75|195.21|220.48||0.63|0.607|10.20|10.93|5.96|4.84|39.30
1801.HK|32.80|07/21/2023 16:08|3.98|0.301||3.29|3.00|-2.63|||||-12.76|-40.26|-20.79|-126.86|0|0|5.96
1810.HK|11.28|07/21/2023 16:08|2.72|0.152|2.14|2.00|4.00|-2.70|-11.12||-35.80||2.56|6.99|5.05||0|0|60.19
1876.HK|18.30|07/21/2023 16:08|5.09|0.021|47.94|0.82|5.00|-2.62|||-78.47||5.69|4.96|8.51|7.59|0.95|0.564|9.49
1880.HK|106.30|07/21/2023 16:08|8.59|0.143|39.82|3.21|4.00|-2.47|-61.90|-58.66|-63.39|52.09|7.08|14.22|11.27|25.05|0|0|1.16
1898.HK|5.78|07/21/2023 16:08|1.70|0.601|11.21|1.31|7.00|-2.96|292.33|312.27|186.20|18.80|5.41|3.08|14.26|8.55|5.56|4.03|10.78
1919.HK|8.11|07/21/2023 16:08|2.65|0.427|23.90|1.71|4.00|-2.99|865.22|1840.35|443.32|4.97|17.39|11.23|45.29|43.97|40.95|8.19|18.55
1928.HK|27.60|07/21/2023 16:08|0.89|-14.56||0.65|2.00|-3.26|-79.79|||26.14|-15.60|-1.11|-1486.09|-340.73|0|2.70|10.05
1929.HK|12.78|07/21/2023 16:08|3.45|0.682|13.05|1.51|5.00|-2.66|2.96|-55.54|-51.64|24.40|6.07|7.30|16.52|16.54|3.21|3.68|5.60
1997.HK|40.60|07/21/2023 16:08|1.15|0.244|7.74|0.40|5.00|-2.57|92.26||||-3.35|0.6708|-4.46|0.841|2.98|3.89|2.18
2007.HK|1.38|07/21/2023 16:08|0.59|1.33||1.25|4.00|-1.88|1098.63|||1.28|-0.31|1.53|-2.87|18.80|4.54|5.70|156.32
2015.HK|144.80|07/21/2023 16:08||0.2592||2.16|||||||-2.22||-2.47||0||5.68
2020.HK|84.20|07/21/2023 16:08|5.54|0.567|21.46|1.63|4.00|-2.90|-43.07|-8.82|-63.30|44.70|11.34|14.16|23.46|26.69|1.28|1.19|6.33
2196.HK|20.60|07/21/2023 16:08|1.82|0.678|3.75|1.08|4.00|-2.36|-71.96|-66.47|-9.66|22.02|4.09|4.43|10.00|10.60|2.59|1.76|1.48
2202.HK|9.79|07/21/2023 16:08|0.79|1.41|9.77|1.32|6.00|-2.29|352.76||238.27|5.37|1.22|1.91|9.34|17.01|7.39|5.49|12.08
2238.HK|4.60|07/21/2023 16:08|2.00|0.184||1.49|4.00|-2.09|-88.32||174.10|14.16|3.75|5.45|6.24|9.33|5.12|4.14|11.39
2269.HK|40.70|07/21/2023 16:08|7.38|0.126|75.27|1.98|4.00|-2.38|-98.27|-30.28|-62.72||9.24|8.41|12.79|11.19|0|0|22.21
2313.HK|78.25|07/21/2023 16:08|6.22|0.303|18.17|2.55|6.00|-1.98|-50.93||-48.23|26.73|10.38|13.67|15.19|17.98|1.88|1.59|3.91
2318.HK|50.10|07/21/2023 16:08||1.48|3.16|9.23|6.00|-2.72|276.79|6.19|62.92|9.22|0.88|1.39|11.13|17.55|5.65|3.61|20.78
2319.HK|27.80|07/21/2023 16:08|2.34|0.975|5.25|1.11|4.00|-2.54|-38.48|-24.84|-54.84|31.68|4.90|5.08|13.58|13.38|1.24|0.732|9.59
2328.HK|8.48|07/21/2023 16:08||0.046|32.73|0.518|6.00|-2.48|115.43||109.05|7.70|3.60|3.49|12.77|12.50|6.45|5.78|19.47
2331.HK|40.20|07/21/2023 16:08|8.52|0.088|44.00|1.71|2.00|-2.05|-47.59|1.89|-52.48|82.11|12.59|13.16|17.70|20.45|0.79|0.366|14.08
2333.HK|9.58|07/21/2023 16:08|2.22|0.463|4.50|1.09|5.00|-3.04|11.74|-11.43|9.12|9.17|3.72|4.24|10.13|10.42|0.85|2.99|21.98
2359.HK|69.85|07/21/2023 16:08|7.83|0.116|51.65|1.74|9.00|-2.60|-78.98|4.20|-47.17||14.51|10.32|20.67|15.11|0.75|0.336|1.58
2382.HK|67.90|07/21/2023 16:08|3.52|0.295|9.51|1.58|5.00|-3.18|-29.07|-67.89|-55.08|28.03|5.91|12.38|11.21|27.59|1.24|0.762|5.90
2388.HK|23.30|07/21/2023 16:08||0.431|||5.00|-2.82|149.89|-38.71|80.77|7.53|0.78|0.9244|8.82|9.84|4.22|5.01|8.48
2518.HK|57.95|07/21/2023 16:08|3.99|0||5.24|5.00|-2.73|||7.66|11.89|6.89|14.06|8.56|19.19|1.80|0.36|0.0162
2600.HK|3.52|07/21/2023 16:08|2.07|1.59|5.30|0.87|6.00|-2.90|156.20|-41.21|5.48||1.99|1.14|7.15|4.27|1.10|0.22|24.34
2601.HK|18.62|07/21/2023 16:08||0.059|1.20|0.91|5.00|-2.73|448.61||142.77|10.87|1.26|1.49|11.61|12.91|6.86|5.13|9.65
2618.HK|11.96|07/21/2023 16:08|2.02|0.513|0.47|1.68|4.00|-2.88|||||-1.57||-3.25||0||5.09
2628.HK|11.50|07/21/2023 16:08||0.113|6.07|1.76|5.00|-2.99|211.28||79.52|25.97|0.62|1.01|6.83|9.87|5.83|4.04|22.74
2688.HK|87.90|07/21/2023 16:08|2.83|0.517|16.23|0.75|5.00|-2.72|-16.85||-49.54|23.64|5.63|6.55|15.42|19.96|2.52|1.76|2.04
2883.HK|8.97|07/21/2023 16:08|2.09|0.55|3.83|1.46|6.00|-2.72|-12.08|-62.31|22.73|59.66|3.21|2.09|6.20|4.24|0.25|1.53|6.40
2899.HK|12.74|07/21/2023 16:08|2.51|1.31|8.03|1.09|3.00|-1.45|-61.33|46.95|-63.12|45.04|6.79|5.51|22.54|16.25|2.22|2.34|24.69
3690.HK|128.20|07/21/2023 16:08|3.45|0.43|2.62|1.83|5.00|-3.50|||||0.89|-24.09|1.70|-108.28|0|0|19.57
3692.HK|12.34|07/21/2023 16:08|7.14|0.193|48.00|9.86|6.00|-2.38||-62.46|-44.05||8.82|15.51|11.90|25.81|0.93|0.268|3.19
3800.HK|1.59|07/21/2023 16:08|1.81|0.315|58.00|1.09|6.00|-1.54|-121.66||234.39|14.81|21.02|4.09|43.73|6.28|0|0|81.85
