1109.HK|35.70|03/01/2023 16:08|0.84|0.956|35.77|1.36|6.00|-2.21||104.39|78.98|9.82|3.12|4.06|13.56|16.95|4.63|2.98|10.35
1113.HK|50.00|03/01/2023 16:08|1.27|0.133|20.87|4.30|8.00||||149.37|7.80|4.92|5.84|6.95|8.49|3.80|3.49|2.82
1177.HK|4.16|03/01/2023 16:08|3.62|0.398|13.50|1.55|5.00|-1.11||444.42|5.34|16.39|13.42|17.87|28.64|41.27|1.10|0.93|34.05
1299.HK|85.50|03/01/2023 16:08||0.252|12.02|0.242|4.00|||-37.89|-57.38|26.85|1.11|2.19|6.75|11.66|1.76|1.51|18.58
1347.HK|32.40|03/01/2023 16:08|1.90|0.553|18.21|2.13|7.00|-2.36||-64.39|-2.63||6.40|5.34|13.30|7.98|0|1.14|6.57
1368.HK|9.30|03/01/2023 16:08|3.66|0.384|15.31|2.42|5.00|-2.34||-69.21|-34.94|24.97|7.45|5.94|13.47|10.38|1.45|3.55|8.05
1378.HK|8.88|03/01/2023 16:08|1.74|0.706|7.42|1.57|7.00|-2.83||49.94|161.26|6.99|8.29|4.97|19.35|13.54|11.49|5.60|23.74
1398.HK|4.04|03/01/2023 16:08||0.414|||5.00|-2.59|625.77|169.39|316.33|4.67|0.97|1.08|10.98|12.59|7.29|5.44|211.56
1801.HK|40.55|03/01/2023 16:08|5.17|0.288||3.22|1.00|-0.55|||||-19.05|-42.78|-29.22||0|0|6.98
1810.HK|12.60|03/01/2023 16:08|2.72|0.182|6.00|1.76|6.00|-2.57|||-68.72||0.67|-5.89|1.39||0|0|87.21
1876.HK|25.15|03/01/2023 16:08|5.54|0.023||0.73|7.00|-2.67|||-81.94||6.63||10.01||1.08||7.19
1928.HK|28.55|03/01/2023 16:08|2.10|66.61||1.09|6.00|-2.69||||20.92|-14.18|4.90|-166.92|-0.1506|0|3.69|15.30
1929.HK|15.52|03/01/2023 16:08|3.60|0.931|20.11|1.51|7.00|-2.93||-33.55|-55.72|28.37|7.52|7.60|19.89|15.79|3.23|3.53|7.25
1997.HK|43.40|03/01/2023 16:08|1.38|0.246|14.30|0.44|7.00|-2.83|||||-0.02|2.62|-0.02|3.43|3.43|3.29|2.88
2007.HK|2.60|03/01/2023 16:08|0.71|1.49||1.25|4.00|-2.27||1370.24|393.65|2.10|0.65|2.24|6.52|25.89|8.03|5.19|148.55
2015.HK|100.20|03/01/2023 16:08|3.60|0.272||2.83|4.00|-2.08|||||-2.75||-4.43||0||8.32
2020.HK|109.70|03/01/2023 16:08|7.18|0.606|21.02|1.66|7.00|-2.85||-16.48|-69.98|63.84|12.35|15.75|25.60|27.53|0.92|1.36|5.79
2269.HK|58.30|03/01/2023 16:08|10.62|0.128|103.44|2.30|7.00|-1.59||-55.88|-72.12||9.00|8.10|12.16|11.04|0|0|21.20
2313.HK|90.60|03/01/2023 16:08|6.74|0.339|17.03|2.19|5.00|-2.38||-81.37|-56.05|30.68|8.39|15.00|12.19|19.44|1.45|1.22|3.45
2318.HK|57.50|03/01/2023 16:08||1.72|6.34|6.18|5.00|-2.65|183.54||50.22|9.54|0.92|1.54|11.66|19.89|4.84|2.77|28.29
2319.HK|36.30|03/01/2023 16:08|2.81|0.926|5.17|1.08|5.00|-2.07||8.63|-51.26|44.26|5.99|4.92|15.71|12.68|0.74|0.576|8.31
2331.HK|71.25|03/01/2023 16:08|11.50|0.074|62.06|2.07|8.00|-2.13||-30.63|-70.29|683.05|16.06|12.23|23.67|19.35|0.29|0.208|9.23
2382.HK|96.95|03/01/2023 16:08|4.89|0.314|16.63|1.83|6.00|-2.78||47.47|-52.91|37.79|9.68|15.60|18.46|34.99|0.43|0.582|6.10
2388.HK|26.80|03/01/2023 16:08||0.015|||5.00|-2.52||-38.61|47.01|8.63|0.68|1.02|7.91|10.79|4.85|4.76|10.87
2518.HK|63.05|03/01/2023 16:08|5.82|0||6.02|5.00|-2.99|||5.32|12.14|6.66|14.18|8.24|19.34|0|0|0.032
2600.HK|4.21|03/01/2023 16:08|2.10|1.35|5.20|1.07|8.00|-3.16|||47.25||3.05|0.8888|10.13|3.40|0|0|32.66
2618.HK|14.62|03/01/2023 16:08|1.86|0.357||1.96|5.00|-3.57|||-55.57||-2.42||-4.76||0||6.80
2628.HK|14.10|03/01/2023 16:08||0.116|5.80|1.47|5.00|-2.45||-8.89|90.96|27.01|0.71|1.13|7.33|10.67|5.94|3.10|27.01
